,2018,2019,2020,2021,2022,2023,2024
ABBOTSFORD,1192500,1050000,1200000,1365000,1346000,1250000,1027500
ABERFELDIE,1498500,1390000,1520000,1858000,1900000,1631000,3900000
AINTREE,557500,575000,616000,713500,756000,748000,753500
AIREYS INLET,869000,985000,1132500,1775000,1725000,1675000,1625000
AIRPORT WEST,845000,795000,812500,960000,911000,945000,860000
ALBANVALE,546000,512000,545000,610000,600000,595000,612000
ALBERT PARK,2070000,1990000,1900000,2355000,2475000,2202500,2330000
ALBION,755000,675000,727500,832500,830000,765000,712500
ALEXANDRA,335000,325000,380000,440000,550000,477500,470000
ALFREDTON,439000,480000,512000,605000,650000,640000,607500
ALLANSFORD,245000,300000,371000,445000,573500,600000,365000
ALPHINGTON,1612500,1455000,1865000,2280000,2195000,2076000,NA
ALTONA,932500,890000,914000,1162500,1180000,1135000,1035500
ALTONA EAST,909000,857500,870000,980000,1100000,1025000,850000
ALTONA MEADOWS,631500,615000,640000,720000,740000,690000,666000
ALTONA NORTH,835000,790000,830000,905000,942500,880500,860000
ANGLESEA,870000,915000,1100000,1440000,1717500,1550000,1455000
APOLLO BAY,555000,915000,710000,924500,1000000,1080000,885000
ARARAT,199000,215000,244000,313000,380000,375000,330000
ARDEER,629000,572000,615000,719000,682000,628500,707500
ARMADALE,2341500,2490000,2625000,2700000,2735500,2585000,1547500
ARMSTRONG CREEK,535000,529500,545500,660000,720000,675000,650000
ASCOT (GREATER BENDIGO),380000,415500,470000,562500,595000,609500,585000
ASCOT VALE,1197500,1100000,1210000,1245000,1325000,1300500,900000
ASHBURTON,1712500,1641500,1600000,2000000,1986000,1992500,2005000
ASHWOOD,1210000,1100000,1250500,1450000,1567500,1455000,NA
ASPENDALE,980000,994000,1120000,1321500,1440000,1332500,1438000
ASPENDALE GARDENS,935000,844000,970000,1130500,1150000,1117000,1050000
ATTWOOD,750000,767500,750000,970000,990500,950000,715000
AVENEL,349000,370000,450000,455000,497500,555000,NA
AVOCA,220000,219500,290000,325000,375000,350000,270000
AVONDALE HEIGHTS,830000,810000,842500,965500,990000,936000,825000
AVONSLEIGH,540000,532500,615000,752500,837500,725000,NA
AXEDALE,355000,387500,390000,505000,520000,515000,NA
BACCHUS MARSH,480000,500000,520000,597000,665000,640000,600000
BADGER CREEK,500000,498000,550000,665000,715000,732500,635000
BAIRNSDALE,279000,274000,290000,350000,440000,435000,370000
BALACLAVA,1190000,1405000,1418000,1550000,1560000,1500000,1627500
BALCOMBE,1240000,1125000,1300000,1750000,1852500,1758500,1550000
BALLAN,462000,450000,505000,603500,640000,607500,670000
BALLARAT CENTRAL,447500,515000,560000,710000,687500,607500,696500
BALLARAT EAST,340000,360000,398000,490000,530000,512500,502500
BALLARAT NORTH,389000,417500,425000,566500,627500,620000,502500
BALNARRING,814500,825000,938500,1275000,1330000,1250000,1305000
BALNARRING BEACH,1115000,1275000,1250000,1635000,1847500,2400000,1650000
BALWYN,2420000,2377500,2260000,2750000,2862000,2985000,3287500
BALWYN NORTH,1810000,1720000,1900000,2255500,2229000,2405000,2330000
BANDIANA,390000,374000,380000,447000,599500,599000,732000
BANNOCKBURN,487500,530000,555000,680000,729500,710000,610000
BARANDUDA,403500,395000,436000,487000,650000,610000,681500
BARWON HEADS,965000,1024000,1280000,1590000,1800000,1823000,1400000
BAXTER,542500,530000,567500,710000,717500,692500,775000
BAYSWATER,753000,720000,745500,870000,902000,871000,705000
BAYSWATER NORTH,713000,695000,731000,855500,869500,840500,922000
BEACONSFIELD,730000,685000,711000,892000,940000,915000,991000
BEACONSFIELD UPPER,903500,787500,818000,900000,1205000,1202500,NA
BEAUFORT,225000,242500,325000,390000,415000,405000,400000
BEAUMARIS,1674000,1587500,1725000,2100000,2061000,2040000,1837500
BEECHWORTH,400000,478500,487500,645000,707000,730000,NA
BELGRAVE,676000,636000,680000,784000,850000,815000,715000
BELGRAVE HEIGHTS,701500,685000,737500,902500,1055500,850000,NA
BELGRAVE SOUTH,782500,665500,845000,1085000,919000,1125000,1090000
BELL PARK,452500,482000,500000,620500,640000,610000,619500
BELL POST HILL,487000,475000,507000,657500,675000,620000,687000
BELLFIELD (BANYULE),882500,790000,775000,992500,965000,944000,807500
BENALLA,284000,290000,302000,394000,430500,430000,445000
BENDIGO,400000,420000,500000,600000,690000,540000,500000
BENTLEIGH,1394000,1376000,1510000,1742500,1723000,1690000,1600000
BENTLEIGH EAST,1205000,1200000,1255000,1480000,1490000,1430000,1566000
BERWICK,690000,670000,700000,812000,870000,855000,832500
BEVERIDGE,540000,580000,531000,630000,650000,650000,650000
BIRCHIP,100000,108500,121500,130000,170000,225000,120000
BIRREGURRA,412500,463000,489500,692500,700000,850000,460000
BITTERN,650000,577500,630000,750000,832500,850000,670000
BLACK HILL,405000,492500,491000,550000,642500,626000,577000
BLACK ROCK,2029000,1793000,1920000,2600000,2565000,2287500,3000000
BLACKBURN,1370500,1305000,1405000,1639500,1549500,1600000,1624000
BLACKBURN NORTH,1038000,1017500,1090000,1300000,1230000,1284500,1417000
BLACKBURN SOUTH,1063500,1034000,1100500,1338500,1288000,1350000,1347000
BLAIRGOWRIE,990500,921500,1143500,1562500,1725000,1657500,1450000
BLIND BIGHT,546000,552500,570000,668500,705000,806000,762500
BONBEACH,910000,855000,930000,1115000,1177500,1105000,936000
BONNIE BROOK,-,-,307000,492500,645000,671500,660000
BONNIE DOON,417500,410000,372500,565000,670000,630000,660000
BONSHAW,400000,379000,435000,525000,565000,560000,552500
BOOLARRA,250000,247500,255000,355000,362500,450000,535000
BOORT,180000,185000,165000,240000,227500,270000,307000
BORONIA,742500,680000,715000,845000,830000,855000,856000
BOTANIC RIDGE,730000,700000,727000,847000,920000,872500,753000
BOX HILL,1700500,1545000,1512500,1630500,1726000,1680000,1200000
BOX HILL NORTH,1188000,1200000,1191500,1321000,1320000,1333000,1262500
BOX HILL SOUTH,1285500,1177500,1252500,1560000,1440000,1500000,1869500
BRAYBROOK,728500,646500,669500,739000,794500,712000,715000
BREAKWATER,385000,405000,410000,534500,580000,575000,NA
BRIAGOLONG,264000,315000,277500,400000,415000,436500,400000
BRIAR HILL,880000,823500,863000,1015000,984500,1001000,1040000
BRIGHT,590000,580000,700000,909500,1195000,1100000,919000
BRIGHTON,2888000,2675000,3148500,3515000,3457500,3200000,2825000
BRIGHTON EAST,1880000,1700000,1950000,2265000,2316500,2425000,2100000
BROADFORD,396500,415000,454000,505000,570000,550000,430000
BROADMEADOWS,575000,525500,551500,590000,600000,560000,530000
BROOKFIELD,491500,445000,500000,539000,570000,560000,558500
BROOKLYN,695000,672500,712500,850000,810000,740000,NA
BROWN HILL,405000,449000,487500,600000,601000,740000,675000
