ID,Suburb
0,East Melbourne
1,South Yarra
2,Toorak
3,Armadale
4,Melbourne
5,Elsternwick
6,Albert Park
7,Ivanhoe
8,Parkville
9,North Melbourne
10,Clifton Hill
11,Balaclava
12,Fairfield
13,St Kilda East
14,Carlton
15,Princes Hill
16,Gardenvale
17,Hawthorn
18,Carlton North
19,Elwood
20,Alphington
21,Brighton
22,Ashburton
23,Travancore
24,Hawthorn East
25,Canterbury
26,Sandringham
27,Kew East
28,Ripponlea
29,Prahran
30,Glen Iris
31,Windsor
32,Abbotsford
33,Kew
34,St Kilda
35,Williamstown
36,Malvern East
37,Fitzroy North
38,St Kilda West
39,Northcote
40,Box Hill
41,Malvern
42,Brunswick East
43,Kooyong
44,Caulfield North
45,Black Rock
46,Blackburn
47,Glen Huntly
48,Hampton East
49,Caulfield South
50,Yarraville
51,Thornbury
52,Hampton
53,Middle Park
54,Surrey Hills
55,Port Melbourne
56,Aberfeldie
57,Ascot Vale
58,Mont Albert
59,Collingwood
60,West Melbourne
61,Brunswick West
62,Ormond
63,Newport
64,Mont Albert North
65,Flemington
66,Richmond
67,Brighton East
68,Deepdene
69,South Melbourne
70,Camberwell
71,Ashwood
72,Balwyn
73,Footscray
74,Kensington
75,Balwyn North
76,Essendon West
77,Brunswick
78,Moonee Ponds
79,Burwood
80,Caulfield
81,Fitzroy
82,Box Hill South
83,Burnley
84,Essendon
85,Beaumaris
86,Strathmore
87,Docklands
88,McKinnon
89,Mentone
90,Southbank
91,Ivanhoe East
92,Forest Hill
93,Vermont South
94,Chadstone
95,Preston
96,Sunshine
97,Caulfield East
98,Niddrie
99,Carnegie
100,Spotswood
101,Altona
102,Jacana
103,Murrumbeena
104,Mitcham
105,Heidelberg
106,Hughesdale
107,Bentleigh
108,Keilor East
109,Viewbank
110,Coburg North
111,Nunawading
112,Seaholme
113,Bellfield
114,Avondale Heights
115,Box Hill North
116,Airport West
117,Blackburn South
118,Highett
119,Vermont
120,Rosanna
121,Fawkner
122,Templestowe Lower
123,Mount Waverley
124,Montmorency
125,Seddon
126,Strathmore Heights
127,Maribyrnong
128,Burwood East
129,Glen Waverley
130,Ardeer
131,Watsonia
132,Cheltenham
133,Sassafras
134,Cremorne
135,Frankston North
136,Braybrook
137,Bulleen
138,Doncaster
139,Oak Park
140,Macleod
141,Williamstown North
142,Blackburn North
143,Oakleigh
144,Essendon North
145,Moorabbin
146,Gladstone Park
147,Eaglemont
148,Parkdale
149,Coburg
150,Doncaster East
151,Eltham North
152,Mount Dandenong
153,Templestowe
154,Albion
155,Belgrave
156,Sherbrooke
157,Reservoir
158,St Helena
159,Kingsbury
160,Wheelers Hill
161,Lower Plenty
162,Pascoe Vale
163,Upwey
164,Briar Hill
165,Tecoma
166,Westmeadows
167,Greensborough
168,Ferny Creek
169,Watsonia North
170,The Basin
171,Ringwood East
172,Bentleigh East
173,West Footscray
174,Selby
175,Frankston
176,Altona North
177,Eltham
178,Pascoe Vale South
179,Yallambie
180,Keilor Downs
181,Heidelberg West
182,Laverton
183,Wantirna South
184,Ringwood
185,Maidstone
186,Oakleigh South
187,Broadmeadows
188,Bayswater
189,Kingsville
190,Donvale
191,Heathmont
192,Scoresby
193,Heidelberg Heights
194,Brooklyn
195,Diamond Creek
196,Keilor Park
197,Knoxfield
198,Mill Park
199,Notting Hill
200,Kealba
201,Glenroy
202,Wantirna
203,Keilor
204,Mordialloc
205,Oakleigh East
206,Springvale
207,Bundoora
208,South Kingsville
209,Kallista
210,Thomastown
211,Carrum
212,Kalorama
213,Seaford
214,Huntingdale
215,Springvale South
216,Coolaroo
217,Gowanbrae
218,Clayton
219,Ferntree Gully
220,Ringwood North
221,Noble Park North
222,Boronia
223,Clayton South
224,Park Orchards
225,Endeavour Hills
226,Clarinda
227,Warrandyte
228,Hadfield
229,Sunshine North
230,Edithvale
231,Dandenong
232,Croydon
233,Mulgrave
234,Dallas
235,Aspendale
236,Croydon Hills
237,Lysterfield South
238,Sunshine West
239,Belgrave Heights
240,Lalor
241,Heatherton
242,Croydon South
243,Keilor Lodge
244,Patterson Lakes
245,Williams Landing
246,Hurstbridge
247,Upper Ferntree Gully
248,Montrose
249,Eumemmerring
250,Chelsea Heights
251,Tullamarine
252,St Albans
253,Research
254,Dingley Village
255,North Warrandyte
256,The Patch
257,Noble Park
258,Mooroolbark
259,Bonbeach
260,Warranwood
261,Campbellfield
262,Doveton
263,Croydon North
264,Cranbourne
265,Derrimut
266,Taylors Lakes
267,Frankston South
268,Keysborough
269,Mount Evelyn
270,Altona Meadows
271,Hoppers Crossing
272,South Morang
273,Attwood
274,Chelsea
275,Langwarrin South
276,Epping
277,Kilsyth South
278,Emerald
279,Kilsyth
280,Kings Park
281,Meadow Heights
282,Bayswater North
283,Rowville
284,Dandenong North
285,Clematis
286,Aspendale Gardens
287,Hallam
288,Narre Warren
289,Albanvale
290,Hampton Park
291,Lynbrook
292,Narre Warren North
293,Langwarrin
294,Deer Park
295,Werribee
296,Lilydale
297,Cairnlea
298,Seabrook
299,Berwick
300,Waterways
301,Roxburgh Park
302,Delahey
303,Wandin North
304,Dandenong South
305,Lyndhurst
306,Burnside Heights
307,Carrum Downs
308,Point Cook
309,Junction Village
310,Sydenham
311,Bangholme
312,Caroline Springs
313,Taylors Hill
314,Burnside
315,Narre Warren South
316,Craigieburn
317,Cranbourne North
318,Hillside
319,Sandhurst
320,Skye
