Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24,PA 2014-24,PA 2015-24,PA 2016-24,PA 2017-24,PA 2018-24,PA 2019-24,PA 2020-24,PA 2021-24,PA 2022-24,PA 2023-24
ABBOTSFORD,862500.0,925000.0,1187500.0,1280000.0,1192500.0,1050000.0,1200000.0,1365000.0,1346000.0,1257500.0,1232500.0,^ 1292500,-2.0,43.0,3.6,3.6,3.2,0.5,-0.5,0.6,3.3,0.7,-3.3,-4.3,-2.0
ABERFELDIE,1045000.0,1207500.0,1300000.0,1471000.0,1498500.0,1390000.0,1520000.0,1858000.0,1915000.0,1631000.0,1950000.0,^ 1812500,20.0,87.0,6.4,6.4,5.5,5.2,4.1,4.5,7.0,6.4,1.6,0.9,19.6
AIRPORT WEST,575000.0,635000.0,742000.0,845000.0,845000.0,795000.0,812500.0,960000.0,911000.0,952500.0,940000.0,925000,-1.0,63.0,5.0,5.0,4.5,3.0,1.5,1.8,3.4,3.7,-0.7,1.6,-1.3
ALBANVALE,328000.0,345000.0,439000.0,526500.0,546000.0,512000.0,545000.0,610000.0,600000.0,595000.0,613000.0,610000,3.0,87.0,6.5,6.5,6.6,4.3,2.2,1.9,3.7,3.0,0.2,1.1,3.0
ALBERT PARK,1503000.0,1700000.0,1775000.0,2150000.0,2070000.0,1990000.0,1900000.0,2355000.0,2475000.0,2287500.0,2225000.0,^ 1630000,-3.0,48.0,4.0,4.0,3.0,2.9,0.5,1.2,2.3,4.0,-1.9,-5.2,-2.7
ALBION,432000.0,481000.0,593000.0,730000.0,755000.0,675000.0,727500.0,832500.0,830000.0,765000.0,735000.0,^ 739000,-4.0,70.0,5.5,5.5,4.8,2.7,0.1,-0.4,1.7,0.3,-4.1,-5.9,-3.9
ALPHINGTON,1029000.0,1296500.0,1272500.0,1560000.0,1612500.0,1455000.0,1865000.0,2253000.0,2195000.0,2110000.0,2080000.0,^ 2080000,-1.0,102.0,7.3,7.3,5.4,6.3,4.2,4.3,7.4,2.8,-2.6,-2.7,-1.4
ALTONA,646500.0,718000.0,832500.0,950000.0,932500.0,890000.0,914000.0,1162500.0,1180000.0,1142500.0,1170000.0,1100000,2.0,81.0,6.1,6.1,5.6,4.3,3.0,3.9,5.6,6.4,0.2,-0.4,2.4
ALTONA MEADOWS,413000.0,440000.0,495000.0,626500.0,631500.0,615000.0,640000.0,720000.0,740000.0,690000.0,717000.0,^ 662500,4.0,74.0,5.7,5.7,5.6,4.7,1.9,2.1,3.1,2.9,-0.1,-1.6,3.9
ALTONA NORTH,555000.0,642500.0,725000.0,825000.0,835000.0,790000.0,832500.0,900500.0,940000.0,881000.0,917000.0,950000,4.0,65.0,5.1,5.1,4.0,3.0,1.5,1.6,3.0,2.4,0.6,-1.2,4.1
