Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24
ABBOTSFORD,862500,925000,1187500,1280000,1192500,1050000,1200000,1365000,1346000,1257500,1232500,^ 1292500,-2.0,43.0,3.6
ABERFELDIE,1045000,1207500,1300000,1471000,1498500,1390000,1520000,1858000,1915000,1631000,1950000,^ 1812500,20.0,87.0,6.4
AIRPORT WEST,575000,635000,742000,845000,845000,795000,812500,960000,911000,952500,940000,925000,-1.0,63.0,5.0
ALBANVALE,328000,345000,439000,526500,546000,512000,545000,610000,600000,595000,613000,610000,3.0,87.0,6.5
ALBERT PARK,1503000,1700000,1775000,2150000,2070000,1990000,1900000,2355000,2475000,2287500,2225000,^ 1630000,-3.0,48.0,4.0
ALBION,432000,481000,593000,730000,755000,675000,727500,832500,830000,765000,735000,^ 739000,-4.0,70.0,5.5
ALPHINGTON,1029000,1296500,1272500,1560000,1612500,1455000,1865000,2253000,2195000,2110000,2080000,^ 2080000,-1.0,102.0,7.3
ALTONA,646500,718000,832500,950000,932500,890000,914000,1162500,1180000,1142500,1170000,1100000,2.0,81.0,6.1
ALTONA MEADOWS,413000,440000,495000,626500,631500,615000,640000,720000,740000,690000,717000,^ 662500,4.0,74.0,5.7
ALTONA NORTH,555000,642500,725000,825000,835000,790000,832500,900500,940000,881000,917000,950000,4.0,65.0,5.1
ARDEER,360000,381500,517500,595000,629000,572000,615000,719000,682000,628500,680000,^ 625000,8.0,89.0,6.6
ASCOT VALE,810000,885000,1010000,1185000,1197500,1100000,1210000,1245000,1325000,1300500,1300000,1164000,0.0,60.0,4.8
ASHBURTON,1200000,1435000,1567500,1812500,1712500,1641500,1600000,2000000,1986000,2015000,1907000,^ 1647500,-5.0,59.0,4.7
ASHWOOD,888000,1140000,1230000,1359000,1210000,1100000,1250500,1450000,1567500,1455000,1442500,^ 1825000,-1.0,62.0,5.0
ASPENDALE,690000,795500,891000,1125000,980000,994000,1120000,1321500,1440000,1360000,1315000,^ 1252000,-3.0,91.0,6.7
ASPENDALE GARDENS,632000,715000,775000,882500,935000,844000,970000,1130500,1150000,1117000,1210500,^ 1237500,8.0,92.0,6.7
AVONDALE HEIGHTS,562500,650000,750000,845500,830000,810000,842500,965500,990000,938500,980500,912500,4.0,74.0,5.7
BALACLAVA,942000,1100000,1242500,1385500,1190000,1405000,1418000,1550000,1527000,1500000,1377500,^ 1008000,-8.0,46.0,3.9
BALWYN,1780000,2210000,2180000,2340000,2420000,2377500,2260000,2750000,2862000,2965000,2868000,2950000,-3.0,61.0,4.9
BALWYN NORTH,1452000,1850000,1800000,1950000,1810000,1720000,1900000,2255500,2229000,2382500,2310000,^ 1808000,-3.0,59.0,4.8
BAYSWATER,525000,632500,693000,800500,753000,720000,745500,870000,902000,870000,862000,812500,-1.0,64.0,5.1
BAYSWATER NORTH,490000,580000,628000,737500,713000,695000,734500,855500,869500,843000,899000,^ 830000,7.0,83.0,6.3
BEAUMARIS,1134000,1345000,1455000,1611000,1674000,1587500,1725000,2100000,2061000,2055000,2061000,2272500,0.0,82.0,6.2
BELGRAVE,426000,482500,545000,620000,676000,636000,680000,784000,850000,815000,800000,^ 905500,-2.0,88.0,6.5
